FID,OBJECTID,NAMOBJ,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,Shape
240,92176,Belimbing,1524.592814,1,Pupuan,Belimbing,Tabanan,Bali,Polygon ZM
241,92177,Belimbingsari,2714.830055,1,Melaya,Belimbingsari,Jembrana,Bali,Polygon ZM
242,92178,Belok/Sidan,2673.061049,1,Petang,Belok/Sidan,Badung,Bali,Polygon ZM
243,92188,Antosari,639.4646355,1,Selemadeg Barat,Antosari,Tabanan,Bali,Polygon ZM
244,92189,Anturan,283.5572838,1,Buleleng,Anturan,Buleleng,Bali,Polygon ZM
245,92190,Apuan,518.6281469,1,Baturiti,Apuan,Tabanan,Bali,Polygon ZM
246,92191,Belumbang,243.302035,1,Kerambitan,Belumbang,Tabanan,Bali,Polygon ZM
247,92192,Beng,196.8039063,2,Gianyar,Beng,Gianyar,Bali,Polygon ZM
248,92193,Bengkala,454.4264229,1,Kubutambahan,Bengkala,Buleleng,Bali,Polygon ZM
249,92201,Apuan,414.5278833,1,Susut,Apuan,Bangli,Bali,Polygon ZM
250,92202,Asahduren,1170.195573,1,Pekutatan,Asahduren,Jembrana,Bali,Polygon ZM
251,92203,Astina,22.35570361,2,Buleleng,Astina,Buleleng,Bali,Polygon ZM
252,92204,Awan,704.1336857,1,Kintamani,Awan,Bangli,Bali,Polygon ZM
253,92213,Ayunan,211.466253,1,Abiansemal,Ayunan,Badung,Bali,Polygon ZM
254,92214,Babahan,493.0019072,1,Penebel,Babahan,Tabanan,Bali,Polygon ZM
255,92215,Baha,547.2279813,1,Mengwi,Baha,Badung,Bali,Polygon ZM
256,92221,Bajera,192.9444265,1,Selemadeg,Bajera,Tabanan,Bali,Polygon ZM
257,92222,Bajera Utara,391.5353179,1,Selemadeg,Bajera Utara,Tabanan,Bali,Polygon ZM
258,92223,Bakas,225.5552257,1,Banjarangkan,Bakas,Klungkung,Bali,Polygon ZM
259,92235,Bakbakan,428.3976631,1,Gianyar,Bakbakan,Gianyar,Bali,Polygon ZM
260,92236,Baktiseraga,234.8302328,1,Buleleng,Baktiseraga,Buleleng,Bali,Polygon ZM
261,92237,Baler Bale Agung,1702.658285,2,Negara,Baler Bale Agung,Jembrana,Bali,Polygon ZM
262,92238,Baluk,873.4332877,1,Negara,Baluk,Jembrana,Bali,Polygon ZM
263,92239,Ban,7780.409936,1,Kubu,Ban,Karangasem,Bali,Polygon ZM
264,92250,Bangbang,358.8230939,1,Tembuku,Bangbang,Bangli,Bali,Polygon ZM
265,92251,Bangli,1516.668808,1,Baturiti,Bangli,Tabanan,Bali,Polygon ZM
266,92252,Banjar,1104.647675,1,Banjar,Banjar,Buleleng,Bali,Polygon ZM
267,92253,Banjar Anyar,703.625845,1,Kediri,Banjar Anyar,Tabanan,Bali,Polygon ZM
268,92273,Banjar Bali,18.39680523,2,Buleleng,Banjar Bali,Buleleng,Bali,Polygon ZM
269,92274,Banjar Jawa,55.39710997,2,Buleleng,Banjar Jawa,Buleleng,Bali,Polygon ZM
270,92291,Banjar Tegal,76.25128179,2,Buleleng,Banjar Tegal,Buleleng,Bali,Polygon ZM
271,92292,Banjar Tegeha,70.30803519,1,Banjar,Banjar Tegeha,Buleleng,Bali,Polygon ZM
272,92293,Banjar Tengah,89.88200349,2,Negara,Banjar Tengah,Jembrana,Bali,Polygon ZM
273,92294,Banjarangkan,221.3787487,1,Banjarangkan,Banjarangkan,Klungkung,Bali,Polygon ZM
274,92295,Banjarasem,442.6763966,1,Seririt,Banjarasem,Buleleng,Bali,Polygon ZM
275,92296,Bantang,664.3976962,1,Kintamani,Bantang,Bangli,Bali,Polygon ZM
276,92304,Bantas,314.84256,1,Selemadeg Timur,Bantas,Tabanan,Bali,Polygon ZM
277,92305,Banua,97.29136126,1,Kintamani,Banua,Bangli,Bali,Polygon ZM
278,92306,Banyubiru,852.3963999,1,Negara,Banyubiru,Jembrana,Bali,Polygon ZM
279,92307,Banyuasri,191.0010703,2,Buleleng,Banyuasri,Buleleng,Bali,Polygon ZM
280,92308,Banyuatis,279.2247469,1,Banjar,Banyuatis,Buleleng,Bali,Polygon ZM
281,92309,Banyuning,520.5279863,2,Buleleng,Banyuning,Buleleng,Bali,Polygon ZM
282,92310,Banyupoh,3805.801579,1,Gerokgak,Banyupoh,Buleleng,Bali,Polygon ZM
283,92311,Banyuseri,266.6533929,1,Banjar,Banyuseri,Buleleng,Bali,Polygon ZM
284,92326,Baru,334.248522,1,Marga,Baru,Tabanan,Bali,Polygon ZM
285,92327,Batannyuh,236.5372089,1,Marga,Batannyuh,Tabanan,Bali,Polygon ZM
286,92328,Batu Agung,2856.343261,1,Jembrana,Batu Agung,Jembrana,Bali,Polygon ZM
287,92329,Batuaji,455.8895332,1,Kerambitan,Batuaji,Tabanan,Bali,Polygon ZM
288,92339,Aan,406.9607515,1,Banjarangkan,Aan,Klungkung,Bali,Polygon ZM
289,92340,Ababi,962.9122531,1,Abang,Ababi,Karangasem,Bali,Polygon ZM
290,92341,Abang,399.9239312,1,Abang,Abang,Karangasem,Bali,Polygon ZM
291,92342,Abangsongan,1482.233926,1,Kintamani,Abangsongan,Bangli,Bali,Polygon ZM
292,92343,Batuan,391.1791717,1,Sukawati,Batuan,Gianyar,Bali,Polygon ZM
293,92344,Batuan Kaler,279.9805341,1,Sukawati,Batuan Kaler,Gianyar,Bali,Polygon ZM
294,92365,Abian Tuwung,503.9450078,1,Kediri,Abian Tuwung,Tabanan,Bali,Polygon ZM
295,92366,Abianbase,411.1897503,2,Mengwi,Abianbase,Badung,Bali,Polygon ZM
296,92367,Abianbase,243.0278765,2,Gianyar,Abianbase,Gianyar,Bali,Polygon ZM
297,92368,Batubulan,790.9632682,1,Sukawati,Batubulan,Gianyar,Bali,Polygon ZM
298,92369,Batubulan Kangin,430.1226733,1,Sukawati,Batubulan Kangin,Gianyar,Bali,Polygon ZM
299,92370,Abang Batudinding,628.8483439,1,Kintamani,Abang Batudinding,Bangli,Bali,Polygon ZM
300,92371,Batukaang,327.682717,1,Kintamani,Batukaang,Bangli,Bali,Polygon ZM
301,92372,Batukandik,2591.604937,1,Nusa Penida,Batukandik,Klungkung,Bali,Polygon ZM
302,92373,Batumadeg,1258.418291,1,Nusa Penida,Batumadeg,Klungkung,Bali,Polygon ZM
303,92396,Abiansemal,494.5724401,1,Abiansemal,Abiansemal,Badung,Bali,Polygon ZM
304,92397,Abiansemal Dauh Yeh Cani,275.8732629,1,Abiansemal,Abiansemal Dauh Yeh Cani,Badung,Bali,Polygon ZM
305,92398,Abuan,432.2691616,1,Susut,Abuan,Bangli,Bali,Polygon ZM
306,92399,Abuan,406.6802266,1,Kintamani,Abuan,Bangli,Bali,Polygon ZM
307,92400,Air Kuning,147.0366173,1,Jembrana,Air Kuning,Jembrana,Bali,Polygon ZM
308,92401,Batungsel,1396.013838,1,Pupuan,Batungsel,Tabanan,Bali,Polygon ZM
309,92402,Batununggul,772.2102576,1,Nusa Penida,Batununggul,Klungkung,Bali,Polygon ZM
310,92403,Batunya,1005.913773,1,Baturiti,Batunya,Tabanan,Bali,Polygon ZM
311,92404,Batur Selatan,2027.886273,1,Kintamani,Batur Selatan,Bangli,Bali,Polygon ZM
312,92405,Batur Tengah,1691.627183,1,Kintamani,Batur Tengah,Bangli,Bali,Polygon ZM
313,92406,Batur Utara,421.658166,1,Kintamani,Batur Utara,Bangli,Bali,Polygon ZM
314,92407,Baturinggit,1543.532,1,Kubu,Baturinggit,Karangasem,Bali,Polygon ZM
315,92429,Akah,254.9483927,1,Klungkung,Akah,Klungkung,Bali,Polygon ZM
316,92430,Alasangker,506.4811754,1,Buleleng,Alasangker,Buleleng,Bali,Polygon ZM
317,92431,Ambengan,969.4297908,1,Sukasada,Ambengan,Buleleng,Bali,Polygon ZM
318,92432,Amerta Bhuana,587.0776508,1,Selat,Amerta Bhuana,Karangasem,Bali,Polygon ZM
319,92433,Angantaka,225.0359451,1,Abiansemal,Angantaka,Badung,Bali,Polygon ZM
320,92434,Angkah,1014.707639,1,Selemadeg Barat,Angkah,Tabanan,Bali,Polygon ZM
321,92435,Baturiti,393.5717912,1,Kerambitan,Baturiti,Tabanan,Bali,Polygon ZM
322,92436,Baturiti,983.9346269,1,Baturiti,Baturiti,Tabanan,Bali,Polygon ZM
323,92437,Bayung Cerik,310.8253802,1,Kintamani,Bayung Cerik,Bangli,Bali,Polygon ZM
324,92438,Bayung Gede,988.6061285,1,Kintamani,Bayung Gede,Bangli,Bali,Polygon ZM
325,92457,Angseri,995.0436193,1,Baturiti,Angseri,Tabanan,Bali,Polygon ZM
326,92458,Antap,962.9751661,1,Selemadeg,Antap,Tabanan,Bali,Polygon ZM
327,92459,Bebalang,408.2806668,2,Bangli,Bebalang,Bangli,Bali,Polygon ZM
328,92460,Bebandem,928.5927401,1,Bebandem,Bebandem,Karangasem,Bali,Polygon ZM
329,92461,Bebetin,654.0744266,1,Sawan,Bebetin,Buleleng,Bali,Polygon ZM
330,92462,Bedulu,402.4233651,1,Blahbatuh,Bedulu,Gianyar,Bali,Polygon ZM
331,92463,Belalang,373.8868027,1,Kediri,Belalang,Tabanan,Bali,Polygon ZM
332,92464,Belancan,1068.448643,1,Kintamani,Belancan,Bangli,Bali,Polygon ZM
333,92465,Belandingan,525.8048457,1,Kintamani,Belandingan,Bangli,Bali,Polygon ZM
334,92491,Tista,87.40503262,1,Kerambitan,Tista,Tabanan,Bali,Polygon ZM
335,92492,Tista,728.8921924,1,Abang,Tista,Karangasem,Bali,Polygon ZM
336,92493,Dapdap Putih,1218.72206,1,Busungbiu,Dapdap Putih,Buleleng,Bali,Polygon ZM
337,92494,Titab,250.4575894,1,Busungbiu,Titab,Buleleng,Bali,Polygon ZM
338,92495,Tiyingtali,460.1863988,1,Abang,Tiyingtali,Karangasem,Bali,Polygon ZM
339,92496,Tohpati,105.7609823,1,Banjarangkan,Tohpati,Klungkung,Bali,Polygon ZM
340,92497,Tojan,144.3763652,1,Klungkung,Tojan,Klungkung,Bali,Polygon ZM
341,92509,Tonja,224.1434866,2,Denpasar Utara,Tonja,Kota Denpasar,Bali,Polygon ZM
342,92510,Tri Eka Buana,432.5796773,1,Sidemen,Tri Eka Buana,Karangasem,Bali,Polygon ZM
343,92511,Tri Buana,656.418425,1,Abang,Tri Buana,Karangasem,Bali,Polygon ZM
344,92512,Tua,374.5749995,1,Marga,Tua,Tabanan,Bali,Polygon ZM
345,92513,Tuban,563.8673479,2,Kuta,Tuban,Badung,Bali,Polygon ZM
346,92522,Tukadaya,6189.243116,1,Melaya,Tukadaya,Jembrana,Bali,Polygon ZM
347,92523,Tukadmungga,220.2838499,1,Buleleng,Tukadmungga,Buleleng,Bali,Polygon ZM
348,92524,Tukadsumaga,3333.870098,1,Gerokgak,Tukadsumaga,Buleleng,Bali,Polygon ZM
349,92525,Tulamben,2877.716391,1,Kubu,Tulamben,Karangasem,Bali,Polygon ZM
350,92526,Tulikup,572.1765528,1,Gianyar,Tulikup,Gianyar,Bali,Polygon ZM
351,92527,Tumbakbayuh,273.9500256,1,Mengwi,Tumbakbayuh,Badung,Bali,Polygon ZM
352,92528,Tumbu,390.1791481,1,Karangasem,Tumbu,Karangasem,Bali,Polygon ZM
353,92536,Tunjuk,463.0380348,1,Tabanan,Tunjuk,Tabanan,Bali,Polygon ZM
354,92537,Tunjung,686.0587361,1,Kubutambahan,Tunjung,Buleleng,Bali,Polygon ZM
355,92538,Tusan,313.9735713,1,Banjarangkan,Tusan,Klungkung,Bali,Polygon ZM
356,92539,Tuwed,833.7257854,1,Melaya,Tuwed,Jembrana,Bali,Polygon ZM
357,92540,Ubud,662.5581713,2,Ubud,Ubud,Gianyar,Bali,Polygon ZM
358,92547,Tajen,410.60264,1,Penebel,Tajen,Tabanan,Bali,Polygon ZM
359,92548,Tajun,1076.885489,1,Kubutambahan,Tajun,Buleleng,Bali,Polygon ZM
360,92549,Takmung,466.0158345,1,Banjarangkan,Takmung,Klungkung,Bali,Polygon ZM
361,92550,Talibeng,478.0452773,1,Sidemen,Talibeng,Karangasem,Bali,Polygon ZM
362,92551,Taman,739.844596,1,Abiansemal,Taman,Badung,Bali,Polygon ZM
363,92552,Tamanbali,485.8288513,1,Bangli,Tamanbali,Bangli,Bali,Polygon ZM
364,92553,Tambakan,1891.063789,1,Kubutambahan,Tambakan,Buleleng,Bali,Polygon ZM
365,92554,Ubung,184.0525178,2,Denpasar Utara,Ubung,Kota Denpasar,Bali,Polygon ZM
366,92555,Ubung Kaja,400.3555753,1,Denpasar Utara,Ubung Kaja,Kota Denpasar,Bali,Polygon ZM
367,92556,Ulakan,1019.332785,1,Manggis,Ulakan,Karangasem,Bali,Polygon ZM
368,92557,Ularan,522.4266197,1,Seririt,Ularan,Buleleng,Bali,Polygon ZM
369,92558,Ulian,418.8161503,1,Kintamani,Ulian,Bangli,Bali,Polygon ZM
370,92564,Tamblang,618.6642756,1,Kubutambahan,Tamblang,Buleleng,Bali,Polygon ZM
371,92565,Tampaksiring,866.03333,1,Tampaksiring,Tampaksiring,Gianyar,Bali,Polygon ZM
372,92566,Tampekan,57.7749386,1,Banjar,Tampekan,Buleleng,Bali,Polygon ZM
373,92567,Umeanyar,215.1134786,1,Seririt,Umeanyar,Buleleng,Bali,Polygon ZM
374,92568,Umejero,1160.649439,1,Busungbiu,Umejero,Buleleng,Bali,Polygon ZM
375,92569,Undisan,297.5426913,1,Tembuku,Undisan,Bangli,Bali,Polygon ZM
376,92570,Ungasan,1552.114122,1,Kuta Selatan,Ungasan,Badung,Bali,Polygon ZM
377,92571,Unggahan,1424.769271,1,Seririt,Unggahan,Buleleng,Bali,Polygon ZM
378,92572,Wanagiri,1474.196701,1,Selemadeg,Wanagiri,Tabanan,Bali,Polygon ZM
379,92573,Wanagiri,1675.836022,1,Sukasada,Wanagiri,Buleleng,Bali,Polygon ZM
380,92574,Wanagiri Kauh,1011.371342,1,Selemadeg,Wanagiri Kauh,Tabanan,Bali,Polygon ZM
381,92583,Tangguntiti,493.8302859,1,Selemadeg Timur,Tangguntiti,Tabanan,Bali,Polygon ZM
382,92584,Tangguwisia,213.4967826,1,Seririt,Tangguwisia,Buleleng,Bali,Polygon ZM
383,92585,Tangkas,247.6709228,1,Klungkung,Tangkas,Klungkung,Bali,Polygon ZM
384,92586,Tanglad,1742.79241,1,Nusa Penida,Tanglad,Klungkung,Bali,Polygon ZM
385,92587,Tanjung Benoa,134.7909905,2,Kuta Selatan,Tanjung Benoa,Badung,Bali,Polygon ZM
386,92588,Taro,2056.675833,1,Tegallalang,Taro,Gianyar,Bali,Polygon ZM
387,92589,Tegak,198.2389492,1,Klungkung,Tegak,Klungkung,Bali,Polygon ZM
388,92590,Tegal Badeng Barat,320.7745445,1,Negara,Tegal Badeng Barat,Jembrana,Bali,Polygon ZM
389,92591,Wanasari,459.1348691,1,Tabanan,Wanasari,Tabanan,Bali,Polygon ZM
390,92592,Warnasari,532.3676243,1,Melaya,Warnasari,Jembrana,Bali,Polygon ZM
391,92598,Tegal Badeng Timur,312.4258215,1,Negara,Tegal Badeng Timur,Jembrana,Bali,Polygon ZM
392,92599,Tegal Harum,82.61248039,1,Denpasar Barat,Tegal Harum,Kota Denpasar,Bali,Polygon ZM
393,92600,Tegal Kertha,95.93366057,1,Denpasar Barat,Tegal Kertha,Kota Denpasar,Bali,Polygon ZM
394,92601,Werdi Bhuwana,339.4233098,1,Mengwi,Werdi Bhuwana,Badung,Bali,Polygon ZM
395,92602,Wisma Kerta,375.7284237,1,Sidemen,Wisma Kerta,Karangasem,Bali,Polygon ZM
396,92603,Wongaya Gede,1699.062826,1,Penebel,Wongaya Gede,Tabanan,Bali,Polygon ZM
397,92604,Yangapi,1514.842839,1,Tembuku,Yangapi,Bangli,Bali,Polygon ZM
398,92611,Tegal Mengkeb,635.8700293,1,Selemadeg Timur,Tegal Mengkeb,Tabanan,Bali,Polygon ZM
399,92612,Tegal Tugu,197.9381799,1,Gianyar,Tegal Tugu,Gianyar,Bali,Polygon ZM
400,92613,Tegalcangkring,1991.282676,2,Mendoyo,Tegalcangkring,Jembrana,Bali,Polygon ZM
401,92614,Yeh Sumbul,1577.019028,1,Mendoyo,Yeh Sumbul,Jembrana,Bali,Polygon ZM
402,92615,Yehembang,3731.622033,1,Mendoyo,Yehembang,Jembrana,Bali,Polygon ZM
403,92616,Yehembang Kangin,4019.418349,1,Mendoyo,Yehembang Kangin,Jembrana,Bali,Polygon ZM
404,92617,Yehembang Kauh,7770.727586,1,Mendoyo,Yehembang Kauh,Jembrana,Bali,Polygon ZM
405,92618,Yehkuning,241.2376748,1,Jembrana,Yehkuning,Jembrana,Bali,Polygon ZM
406,92619,Gilimanuk,2086.084105,2,Melaya,Gilimanuk,Jembrana,Bali,Polygon ZM
407,92620,Sumberkima,1969.940499,1,Gerokgak,Sumberkima,Buleleng,Bali,Polygon ZM
408,92621,Bongancina,529.34258,1,Busungbiu,Bongancina,Buleleng,Bali,Polygon ZM
409,92622,Bantiran,1176.495103,1,Pupuan,Bantiran,Tabanan,Bali,Polygon ZM
410,92631,Tegalinggah,251.9508514,1,Karangasem,Tegalinggah,Karangasem,Bali,Polygon ZM
411,92632,Tegaljadi,260.5338578,1,Marga,Tegaljadi,Tabanan,Bali,Polygon ZM
412,92633,Tegallalang,726.3364245,1,Tegallalang,Tegallalang,Gianyar,Bali,Polygon ZM
413,92643,Tegallinggah,287.7371581,1,Penebel,Tegallinggah,Tabanan,Bali,Polygon ZM
414,92644,Tegallinggah,938.1516436,1,Sukasada,Tegallinggah,Buleleng,Bali,Polygon ZM
415,92645,Tejakula,1386.218649,1,Tejakula,Tejakula,Buleleng,Bali,Polygon ZM
416,92655,Telaga,389.2887023,1,Busungbiu,Telaga,Buleleng,Bali,Polygon ZM
417,92656,Telagatawang,347.6909074,1,Sidemen,Telagatawang,Karangasem,Bali,Polygon ZM
418,92657,Tembok,971.9720133,1,Tejakula,Tembok,Buleleng,Bali,Polygon ZM
419,92658,Tembuku,607.1091505,1,Tembuku,Tembuku,Bangli,Bali,Polygon ZM
420,92665,Temesi,351.4521147,1,Gianyar,Temesi,Gianyar,Bali,Polygon ZM
421,92666,Temukus,432.332627,1,Banjar,Temukus,Buleleng,Bali,Polygon ZM
422,92667,Tenganan,1190.59034,1,Manggis,Tenganan,Karangasem,Bali,Polygon ZM
423,92668,Tengkudak,526.027869,1,Penebel,Tengkudak,Tabanan,Bali,Polygon ZM
424,92669,Terunyan,1397.774427,1,Kintamani,Terunyan,Bangli,Bali,Polygon ZM
425,92670,Tianyar Barat,1545.834426,1,Kubu,Tianyar Barat,Karangasem,Bali,Polygon ZM
426,92683,Tianyar Tengah,1296.560836,1,Kubu,Tianyar Tengah,Karangasem,Bali,Polygon ZM
427,92684,Tibubeneng,684.6113927,1,Kuta Utara,Tibubeneng,Badung,Bali,Polygon ZM
428,92685,Tibubiu,330.7651079,1,Kerambitan,Tibubiu,Tabanan,Bali,Polygon ZM
429,92686,Tiga,1188.802847,1,Susut,Tiga,Bangli,Bali,Polygon ZM
430,92696,Tigawasa,1517.265872,1,Banjar,Tigawasa,Buleleng,Bali,Polygon ZM
431,92697,Tihingan,281.9381683,1,Banjarangkan,Tihingan,Klungkung,Bali,Polygon ZM
432,92698,Tiying Gading,475.3222992,1,Selemadeg Barat,Tiying Gading,Tabanan,Bali,Polygon ZM
433,92699,Timpag,627.9637339,1,Kerambitan,Timpag,Tabanan,Bali,Polygon ZM
434,92700,Timuhun,263.0657556,1,Banjarangkan,Timuhun,Klungkung,Bali,Polygon ZM
435,92701,Tinga-tinga,3041.828706,1,Gerokgak,Tinga-tinga,Buleleng,Bali,Polygon ZM
436,92702,Tinggarsari,727.7584513,1,Busungbiu,Tinggarsari,Buleleng,Bali,Polygon ZM
437,92703,Tirtasari,128.709049,1,Banjar,Tirtasari,Buleleng,Bali,Polygon ZM
438,92714,Pering,650.6895406,1,Blahbatuh,Pering,Gianyar,Bali,Polygon ZM
439,92715,Peringsari,708.8829488,1,Selat,Peringsari,Karangasem,Bali,Polygon ZM
440,92716,Pertima,582.9785104,1,Karangasem,Pertima,Karangasem,Bali,Polygon ZM
441,92717,Pesagi,693.9489824,1,Penebel,Pesagi,Tabanan,Bali,Polygon ZM
442,92718,Pesinggahan,482.9779953,1,Dawan,Pesinggahan,Klungkung,Bali,Polygon ZM
443,92719,Petak,329.4814672,1,Gianyar,Petak,Gianyar,Bali,Polygon ZM
444,92720,Selat,483.9544795,1,Klungkung,Selat,Klungkung,Bali,Polygon ZM
445,92721,Selat,263.7887813,1,Susut,Selat,Bangli,Bali,Polygon ZM
446,92722,Selat,308.1022076,1,Selat,Selat,Karangasem,Bali,Polygon ZM
447,92723,Selat,2042.862737,1,Sukasada,Selat,Buleleng,Bali,Polygon ZM
448,92724,Selemadeg,595.3336079,1,Selemadeg,Selemadeg,Tabanan,Bali,Polygon ZM
449,92725,Selisihan,166.8499161,1,Klungkung,Selisihan,Klungkung,Bali,Polygon ZM
450,92726,Selulung,1058.690396,1,Kintamani,Selulung,Bangli,Bali,Polygon ZM
451,92727,Selumbung,717.9694454,1,Manggis,Selumbung,Karangasem,Bali,Polygon ZM
452,92728,Sulanyah,141.58355,1,Seririt,Sulanyah,Buleleng,Bali,Polygon ZM
453,92729,Sumberklampok,11218.06747,1,Gerokgak,Sumberklampok,Buleleng,Bali,Polygon ZM
454,92730,Sumerta,80.61988405,2,Denpasar Timur,Sumerta,Kota Denpasar,Bali,Polygon ZM
455,92731,Sumerta Kaja,88.11334399,1,Denpasar Timur,Sumerta Kaja,Kota Denpasar,Bali,Polygon ZM
456,92732,Pandak Gede,319.0848514,1,Kediri,Pandak Gede,Tabanan,Bali,Polygon ZM
457,92733,Pangkung Karung,291.9135009,1,Kerambitan,Pangkung Karung,Tabanan,Bali,Polygon ZM
458,92734,Pangkung Tibah,254.2718384,1,Kediri,Pangkung Tibah,Tabanan,Bali,Polygon ZM
459,92735,Petak Kaja,265.2007806,1,Gianyar,Petak Kaja,Gianyar,Bali,Polygon ZM
460,92736,Petandakan,170.070037,1,Buleleng,Petandakan,Buleleng,Bali,Polygon ZM
461,92737,Petang,784.8337802,1,Petang,Petang,Badung,Bali,Polygon ZM
462,92738,Petiga,337.0028726,1,Marga,Petiga,Tabanan,Bali,Polygon ZM
463,92739,Semarapura Kaja,73.91676661,2,Klungkung,Semarapura Kaja,Klungkung,Bali,Polygon ZM
464,92740,Semarapura Kangin,66.99031675,2,Klungkung,Semarapura Kangin,Klungkung,Bali,Polygon ZM
465,92741,Sumerta Kauh,43.97273406,1,Denpasar Timur,Sumerta Kauh,Kota Denpasar,Bali,Polygon ZM
466,92742,Sumerta Kelod,351.605976,1,Denpasar Timur,Sumerta Kelod,Kota Denpasar,Bali,Polygon ZM
467,92743,Sumita,235.7545127,1,Gianyar,Sumita,Gianyar,Bali,Polygon ZM
468,92744,Susut,515.6728264,1,Susut,Susut,Bangli,Bali,Polygon ZM
469,92745,Suter,515.2278736,1,Kintamani,Suter,Bangli,Bali,Polygon ZM
470,92746,Suwat,129.1039602,1,Gianyar,Suwat,Gianyar,Bali,Polygon ZM
471,92747,Suwug,456.3015845,1,Sawan,Suwug,Buleleng,Bali,Polygon ZM
472,92748,Pangkungparuk,4926.081444,1,Seririt,Pangkungparuk,Buleleng,Bali,Polygon ZM
473,92749,Pangsan,446.2434417,1,Petang,Pangsan,Badung,Bali,Polygon ZM
474,92750,Pangyangan,798.4428525,1,Pekutatan,Pangyangan,Jembrana,Bali,Polygon ZM
475,92751,Petulu,352.5226241,1,Ubud,Petulu,Gianyar,Bali,Polygon ZM
476,92752,Pidpid,450.935544,1,Abang,Pidpid,Karangasem,Bali,Polygon ZM
477,92753,Pikat,554.9048616,1,Dawan,Pikat,Klungkung,Bali,Polygon ZM
478,92754,Pinggan,1942.07803,1,Kintamani,Pinggan,Bangli,Bali,Polygon ZM
