FID,OBJECTID,NAMOBJ,LUASWH,TIPADM,WADMKC,WADMKD,WADMKK,WADMPR,Shape
479,92755,Semarapura Kauh,81.04345321,2,Klungkung,Semarapura Kauh,Klungkung,Bali,Polygon ZM
480,92756,Manikliyu,763.3933409,1,Kintamani,Manikliyu,Bangli,Bali,Polygon ZM
481,92757,Manikyang,308.002147,1,Selemadeg,Manikyang,Tabanan,Bali,Polygon ZM
482,92758,Manistutu,2948.564378,1,Melaya,Manistutu,Jembrana,Bali,Polygon ZM
483,92759,Manukaya,1183.798566,1,Tampaksiring,Manukaya,Gianyar,Bali,Polygon ZM
484,92760,Panjer,318.772961,2,Denpasar Selatan,Panjer,Kota Denpasar,Bali,Polygon ZM
485,92761,Panji,932.3710545,1,Sukasada,Panji,Buleleng,Bali,Polygon ZM
486,92762,Panji Anom,922.9362635,1,Sukasada,Panji Anom,Buleleng,Bali,Polygon ZM
487,92763,Pesedahan,75.98299368,1,Manggis,Pesedahan,Karangasem,Bali,Polygon ZM
488,92764,Patas,2643.732888,1,Gerokgak,Patas,Buleleng,Bali,Polygon ZM
489,92765,Patemon,251.3844119,1,Seririt,Patemon,Buleleng,Bali,Polygon ZM
490,92766,Pitra,371.691147,1,Penebel,Pitra,Tabanan,Bali,Polygon ZM
491,92767,Poh Bergong,245.5688735,1,Buleleng,Poh Bergong,Buleleng,Bali,Polygon ZM
492,92768,Pohsanten,1929.193583,1,Mendoyo,Pohsanten,Jembrana,Bali,Polygon ZM
493,92769,Pucaksari,1611.161787,1,Busungbiu,Pucaksari,Buleleng,Bali,Polygon ZM
494,92770,Puhu,1135.936385,1,Payangan,Puhu,Gianyar,Bali,Polygon ZM
495,92771,Semarapura Klod,112.080252,2,Klungkung,Semarapura Klod,Klungkung,Bali,Polygon ZM
496,92772,Semarapura Klod Kangin,89.68491484,2,Klungkung,Semarapura Klod Kangin,Klungkung,Bali,Polygon ZM
497,92773,Semarapura Tengah,65.69495189,2,Klungkung,Semarapura Tengah,Klungkung,Bali,Polygon ZM
498,92774,Sembiran,1867.489806,1,Tejakula,Sembiran,Buleleng,Bali,Polygon ZM
499,92775,Marga,232.2830286,1,Marga,Marga,Tabanan,Bali,Polygon ZM
500,92776,Marga Dajan Puri,82.97815375,1,Marga,Marga Dajan Puri,Tabanan,Bali,Polygon ZM
501,92777,Marga Dauh Puri,227.8336586,1,Marga,Marga Dauh Puri,Tabanan,Bali,Polygon ZM
502,92778,Payangan,531.0902561,1,Marga,Payangan,Tabanan,Bali,Polygon ZM
503,92779,Pecatu,2607.576898,1,Kuta Selatan,Pecatu,Badung,Bali,Polygon ZM
504,92780,Ped,1563.731572,1,Nusa Penida,Ped,Klungkung,Bali,Polygon ZM
505,92781,Pedawa,1392.333077,1,Banjar,Pedawa,Buleleng,Bali,Polygon ZM
506,92782,Pujungan,2442.285521,1,Pupuan,Pujungan,Tabanan,Bali,Polygon ZM
507,92783,Pulukan,2744.733344,1,Pekutatan,Pulukan,Jembrana,Bali,Polygon ZM
508,92784,Punggul,215.2812476,1,Abiansemal,Punggul,Badung,Bali,Polygon ZM
509,92785,Pupuan,562.3942803,1,Pupuan,Pupuan,Tabanan,Bali,Polygon ZM
510,92786,Pupuan,1215.00334,1,Tegallalang,Pupuan,Gianyar,Bali,Polygon ZM
511,92787,Sembung,635.7599958,1,Mengwi,Sembung,Badung,Bali,Polygon ZM
512,92788,Sembung Gede,572.0238726,1,Kerambitan,Sembung Gede,Tabanan,Bali,Polygon ZM
513,92789,Mas,676.2108811,1,Ubud,Mas,Gianyar,Bali,Polygon ZM
514,92790,Mayong,413.0387922,1,Seririt,Mayong,Buleleng,Bali,Polygon ZM
515,92791,Medahan,423.7074812,1,Blahbatuh,Medahan,Gianyar,Bali,Polygon ZM
516,92792,Medewi,2147.337464,1,Pekutatan,Medewi,Jembrana,Bali,Polygon ZM
517,92793,Megati,822.7046887,1,Selemadeg Timur,Megati,Tabanan,Bali,Polygon ZM
518,92794,Pedungan,761.9799478,2,Denpasar Selatan,Pedungan,Kota Denpasar,Bali,Polygon ZM
519,92795,Pegadungan,749.3039592,1,Sukasada,Pegadungan,Buleleng,Bali,Polygon ZM
520,92796,Pegayaman,1276.822815,1,Sukasada,Pegayaman,Buleleng,Bali,Polygon ZM
521,92797,Peguyangan,323.7862819,2,Denpasar Utara,Peguyangan,Kota Denpasar,Bali,Polygon ZM
522,92798,Pupuan Sawah,389.140084,1,Selemadeg,Pupuan Sawah,Tabanan,Bali,Polygon ZM
523,92799,Purwa Kerthi,985.1597912,1,Abang,Purwa Kerthi,Karangasem,Bali,Polygon ZM
524,92800,Rangdu,154.3934694,1,Seririt,Rangdu,Buleleng,Bali,Polygon ZM
525,92801,Rejasa,357.7509113,1,Penebel,Rejasa,Tabanan,Bali,Polygon ZM
526,92802,Rendang,754.0591623,1,Rendang,Rendang,Karangasem,Bali,Polygon ZM
527,92803,Renon,307.8149529,2,Denpasar Selatan,Renon,Kota Denpasar,Bali,Polygon ZM
528,92804,Seminyak,346.8768194,2,Kuta,Seminyak,Badung,Bali,Polygon ZM
529,92805,Sempidi,260.9896639,2,Mengwi,Sempidi,Badung,Bali,Polygon ZM
530,92806,Senganan,2315.905404,1,Penebel,Senganan,Tabanan,Bali,Polygon ZM
531,92807,Mekar Bhuwana,316.0795925,1,Abiansemal,Mekar Bhuwana,Badung,Bali,Polygon ZM
532,92808,Mekarsari,549.1289211,1,Baturiti,Mekarsari,Tabanan,Bali,Polygon ZM
533,92809,Melaya,2546.060083,1,Melaya,Melaya,Jembrana,Bali,Polygon ZM
534,92810,Peguyangan Kaja,318.7204001,1,Denpasar Utara,Peguyangan Kaja,Kota Denpasar,Bali,Polygon ZM
535,92811,Peguyangan Kangin,508.2158852,1,Denpasar Utara,Peguyangan Kangin,Kota Denpasar,Bali,Polygon ZM
536,92812,Pejarakan,3041.437147,1,Gerokgak,Pejarakan,Buleleng,Bali,Polygon ZM
537,92813,Riang Gede,498.105696,1,Penebel,Riang Gede,Tabanan,Bali,Polygon ZM
538,92814,Ringdikit,361.6603454,1,Seririt,Ringdikit,Buleleng,Bali,Polygon ZM
539,92815,Saba,629.447159,1,Blahbatuh,Saba,Gianyar,Bali,Polygon ZM
540,92816,Sengkidu,222.3576215,1,Manggis,Sengkidu,Karangasem,Bali,Polygon ZM
541,92817,Sepang,2030.542879,1,Busungbiu,Sepang,Buleleng,Bali,Polygon ZM
542,92818,Sepang Kelod,3381.140435,1,Busungbiu,Sepang Kelod,Buleleng,Bali,Polygon ZM
543,92819,Serai,501.5366844,1,Kintamani,Serai,Bangli,Bali,Polygon ZM
544,92820,Serangan,585.0369554,2,Denpasar Selatan,Serangan,Kota Denpasar,Bali,Polygon ZM
545,92821,Seraya,1414.357357,1,Karangasem,Seraya,Karangasem,Bali,Polygon ZM
546,92822,Seraya Barat,813.2208559,1,Karangasem,Seraya Barat,Karangasem,Bali,Polygon ZM
547,92823,Seraya Timur,1180.270433,1,Karangasem,Seraya Timur,Karangasem,Bali,Polygon ZM
548,92824,Seririt,142.3824363,2,Seririt,Seririt,Buleleng,Bali,Polygon ZM
549,92825,Meliling,272.917832,1,Kerambitan,Meliling,Tabanan,Bali,Polygon ZM
550,92826,Melinggih,464.2285592,1,Payangan,Melinggih,Gianyar,Bali,Polygon ZM
551,92827,Melinggih Kelod,402.6659494,1,Payangan,Melinggih Kelod,Gianyar,Bali,Polygon ZM
552,92828,Pejaten,189.5751192,1,Kediri,Pejaten,Tabanan,Bali,Polygon ZM
553,92829,Pejeng,269.4201357,1,Tampaksiring,Pejeng,Gianyar,Bali,Polygon ZM
554,92830,Pejeng Kaja,413.4660839,1,Tampaksiring,Pejeng Kaja,Gianyar,Bali,Polygon ZM
555,92831,Sading,296.0869071,2,Mengwi,Sading,Badung,Bali,Polygon ZM
556,92832,Sai,379.4458058,1,Pupuan,Sai,Tabanan,Bali,Polygon ZM
557,92833,Sakti,2112.848815,1,Nusa Penida,Sakti,Klungkung,Bali,Polygon ZM
558,92834,Sambangan,686.1553906,1,Sukasada,Sambangan,Buleleng,Bali,Polygon ZM
559,92835,Sambirenteng,1024.299142,1,Tejakula,Sambirenteng,Buleleng,Bali,Polygon ZM
560,92836,Sampalan Klod,97.5704165,1,Dawan,Sampalan Klod,Klungkung,Bali,Polygon ZM
561,92837,Serongga,222.6728736,1,Gianyar,Serongga,Gianyar,Bali,Polygon ZM
562,92838,Sesetan,533.0806783,2,Denpasar Selatan,Sesetan,Kota Denpasar,Bali,Polygon ZM
563,92839,Siakin,805.6265707,1,Kintamani,Siakin,Bangli,Bali,Polygon ZM
564,92840,Menanga,1214.288585,1,Rendang,Menanga,Karangasem,Bali,Polygon ZM
565,92841,Mendoyo Dangin Tukad,349.7990552,1,Mendoyo,Mendoyo Dangin Tukad,Jembrana,Bali,Polygon ZM
566,92842,Mendoyo Dauh Tukad,902.3470219,1,Mendoyo,Mendoyo Dauh Tukad,Jembrana,Bali,Polygon ZM
567,92843,Mengani,571.98101,1,Kintamani,Mengani,Bangli,Bali,Polygon ZM
568,92844,Mengening,567.9855444,1,Kubutambahan,Mengening,Buleleng,Bali,Polygon ZM
569,92845,Mengesta,964.0915584,1,Penebel,Mengesta,Tabanan,Bali,Polygon ZM
570,92846,Pejeng Kangin,405.2980092,1,Tampaksiring,Pejeng Kangin,Gianyar,Bali,Polygon ZM
571,92847,Pejeng Kawan,223.9105139,1,Tampaksiring,Pejeng Kawan,Gianyar,Bali,Polygon ZM
572,92848,Pejeng Kelod,166.2881243,1,Tampaksiring,Pejeng Kelod,Gianyar,Bali,Polygon ZM
573,92849,Pejukutan,1882.33185,1,Nusa Penida,Pejukutan,Klungkung,Bali,Polygon ZM
574,92850,Sampalan Tengah,42.37037401,1,Dawan,Sampalan Tengah,Klungkung,Bali,Polygon ZM
575,92851,Samplangan,365.0634819,2,Gianyar,Samplangan,Gianyar,Bali,Polygon ZM
576,92852,Siangan,402.1153045,1,Gianyar,Siangan,Gianyar,Bali,Polygon ZM
577,92853,Sibanggede,572.0226062,1,Abiansemal,Sibanggede,Badung,Bali,Polygon ZM
578,92854,Sibangkaja,343.0580829,1,Abiansemal,Sibangkaja,Badung,Bali,Polygon ZM
579,92855,Mengwi,213.7848672,1,Mengwi,Mengwi,Badung,Bali,Polygon ZM
580,92856,Mengwitani,444.8529384,1,Mengwi,Mengwitani,Badung,Bali,Polygon ZM
581,92857,Menyali,404.7044906,1,Sawan,Menyali,Buleleng,Bali,Polygon ZM
582,92858,Muncan,689.4491876,1,Selat,Muncan,Karangasem,Bali,Polygon ZM
583,92859,Peken Belayu,113.0497897,1,Marga,Peken Belayu,Tabanan,Bali,Polygon ZM
584,92860,Pekutatan,1375.663925,1,Pekutatan,Pekutatan,Jembrana,Bali,Polygon ZM
585,92861,Pelaga,3342.657105,1,Petang,Pelaga,Badung,Bali,Polygon ZM
586,92862,Pelapuan,379.0886863,1,Busungbiu,Pelapuan,Buleleng,Bali,Polygon ZM
587,92863,Samsam,342.9599053,1,Kerambitan,Samsam,Tabanan,Bali,Polygon ZM
588,92864,Sanda,1372.664319,1,Pupuan,Sanda,Tabanan,Bali,Polygon ZM
589,92865,Sanding,209.4128474,1,Tampaksiring,Sanding,Gianyar,Bali,Polygon ZM
590,92866,Sangeh,484.7428776,1,Abiansemal,Sangeh,Badung,Bali,Polygon ZM
591,92867,Sibetan,687.7681087,1,Bebandem,Sibetan,Karangasem,Bali,Polygon ZM
592,92868,Sidakarya,420.2853812,1,Denpasar Selatan,Sidakarya,Kota Denpasar,Bali,Polygon ZM
593,92869,Sidan,239.8510111,1,Gianyar,Sidan,Gianyar,Bali,Polygon ZM
594,92870,Sidemen,513.3050779,1,Sidemen,Sidemen,Karangasem,Bali,Polygon ZM
595,92871,Sidetapa,709.3687495,1,Banjar,Sidetapa,Buleleng,Bali,Polygon ZM
596,92872,Silangjana,834.2785007,1,Sukasada,Silangjana,Buleleng,Bali,Polygon ZM
597,92873,Sinabun,326.8363829,1,Sawan,Sinabun,Buleleng,Bali,Polygon ZM
598,92874,Sinduwati,356.2795894,1,Sidemen,Sinduwati,Karangasem,Bali,Polygon ZM
599,92875,Mundeh,1616.902509,1,Selemadeg Barat,Mundeh,Tabanan,Bali,Polygon ZM
600,92876,Mundeh Kangin,1237.203593,1,Selemadeg Barat,Mundeh Kangin,Tabanan,Bali,Polygon ZM
601,92877,Peliatan,412.3626543,1,Ubud,Peliatan,Gianyar,Bali,Polygon ZM
602,92878,Pemaron,148.0170868,1,Buleleng,Pemaron,Buleleng,Bali,Polygon ZM
603,92879,Pemecutan,139.1279326,2,Denpasar Barat,Pemecutan,Kota Denpasar,Bali,Polygon ZM
604,92880,Pemecutan Kaja,325.608182,1,Denpasar Utara,Pemecutan Kaja,Kota Denpasar,Bali,Polygon ZM
605,92881,Pemecutan Kelod,533.9170249,1,Denpasar Barat,Pemecutan Kelod,Kota Denpasar,Bali,Polygon ZM
606,92882,Sanggalangit,1029.856204,1,Gerokgak,Sanggalangit,Buleleng,Bali,Polygon ZM
607,92883,Sangkan Gunung,919.8917233,1,Sidemen,Sangkan Gunung,Karangasem,Bali,Polygon ZM
608,92884,Sangkaragung,454.1329949,2,Jembrana,Sangkaragung,Jembrana,Bali,Polygon ZM
609,92885,Singakerta,626.9714122,1,Ubud,Singakerta,Gianyar,Bali,Polygon ZM
610,92886,Singapadu,296.3101874,1,Sukawati,Singapadu,Gianyar,Bali,Polygon ZM
611,92887,Mundeh Kauh,762.9862352,1,Selemadeg Barat,Mundeh Kauh,Tabanan,Bali,Polygon ZM
612,92888,Munduk,2276.945173,1,Banjar,Munduk,Buleleng,Bali,Polygon ZM
613,92889,Munduk Bestala,240.0655935,1,Seririt,Munduk Bestala,Buleleng,Bali,Polygon ZM
614,92890,Munduktemu,1888.42255,1,Pupuan,Munduktemu,Tabanan,Bali,Polygon ZM
615,92891,Munggu,684.0015489,1,Mengwi,Munggu,Badung,Bali,Polygon ZM
616,92892,Musi,1624.70282,1,Gerokgak,Musi,Buleleng,Bali,Polygon ZM
617,92893,Pemogan,961.4241401,1,Denpasar Selatan,Pemogan,Kota Denpasar,Bali,Polygon ZM
618,92894,Pempatan,4916.487329,1,Rendang,Pempatan,Karangasem,Bali,Polygon ZM
619,92895,Pemuteran,3267.745036,1,Gerokgak,Pemuteran,Buleleng,Bali,Polygon ZM
620,92896,Penarukan,114.9530386,1,Kerambitan,Penarukan,Tabanan,Bali,Polygon ZM
621,92897,Penarukan,400.7779191,2,Buleleng,Penarukan,Buleleng,Bali,Polygon ZM
622,92898,Sangketan,1226.157532,1,Penebel,Sangketan,Tabanan,Bali,Polygon ZM
623,92899,Sangsit,420.9016899,1,Sawan,Sangsit,Buleleng,Bali,Polygon ZM
624,92900,Sanur,339.729,2,Denpasar Selatan,Sanur,Kota Denpasar,Bali,Polygon ZM
625,92901,Singapadu Kaler,398.8861119,1,Sukawati,Singapadu Kaler,Gianyar,Bali,Polygon ZM
626,92902,Singapadu Tengah,295.8351891,1,Sukawati,Singapadu Tengah,Gianyar,Bali,Polygon ZM
627,92903,Sobangan,334.8601428,1,Mengwi,Sobangan,Badung,Bali,Polygon ZM
628,92904,Songan A,1319.224321,1,Kintamani,Songan A,Bangli,Bali,Polygon ZM
629,92905,Songan B,2429.496266,1,Kintamani,Songan B,Bangli,Bali,Polygon ZM
630,92906,Nagasepaha,87.55388374,1,Buleleng,Nagasepaha,Buleleng,Bali,Polygon ZM
631,92907,Nawa Kerti,557.7383848,1,Abang,Nawa Kerti,Karangasem,Bali,Polygon ZM
632,92908,Negari,213.1257906,1,Banjarangkan,Negari,Klungkung,Bali,Polygon ZM
633,92909,Ngis,633.9291762,1,Manggis,Ngis,Karangasem,Bali,Polygon ZM
634,92910,Nongan,712.1260064,1,Rendang,Nongan,Karangasem,Bali,Polygon ZM
635,92911,Penarungan,409.9422071,1,Mengwi,Penarungan,Badung,Bali,Polygon ZM
636,92912,Penatahan,487.2332298,1,Penebel,Penatahan,Tabanan,Bali,Polygon ZM
637,92913,Penatih,374.1472415,2,Denpasar Timur,Penatih,Kota Denpasar,Bali,Polygon ZM
638,92914,Penatih Dangin Puri,318.9360567,1,Denpasar Timur,Penatih Dangin Puri,Kota Denpasar,Bali,Polygon ZM
639,92915,Pendem,2012.421793,2,Jembrana,Pendem,Jembrana,Bali,Polygon ZM
640,92916,Sanur Kaja,241.327556,1,Denpasar Selatan,Sanur Kaja,Kota Denpasar,Bali,Polygon ZM
641,92917,Sanur Kauh,474.3170325,1,Denpasar Selatan,Sanur Kauh,Kota Denpasar,Bali,Polygon ZM
642,92918,Serampingan,319.307965,1,Selemadeg,Serampingan,Tabanan,Bali,Polygon ZM
643,92919,Suana,1262.299087,1,Nusa Penida,Suana,Klungkung,Bali,Polygon ZM
644,92920,Subagan,843.9392789,2,Karangasem,Subagan,Karangasem,Bali,Polygon ZM
645,92921,Subamia,244.8722918,1,Tabanan,Subamia,Tabanan,Bali,Polygon ZM
646,92922,Nusasari,790.103573,1,Melaya,Nusasari,Jembrana,Bali,Polygon ZM
647,92923,Nyalian,491.6526744,1,Banjarangkan,Nyalian,Klungkung,Bali,Polygon ZM
648,92924,Nyambu,347.6762571,1,Kediri,Nyambu,Tabanan,Bali,Polygon ZM
649,92925,Nyanglan,203.7554645,1,Banjarangkan,Nyanglan,Klungkung,Bali,Polygon ZM
650,92926,Penebel,452.5263057,1,Penebel,Penebel,Tabanan,Bali,Polygon ZM
651,92927,Pengambengan,675.3608297,1,Negara,Pengambengan,Jembrana,Bali,Polygon ZM
652,92928,Pengastulan,89.9917636,1,Seririt,Pengastulan,Buleleng,Bali,Polygon ZM
653,92929,Pengejaran,436.7052898,1,Kintamani,Pengejaran,Bangli,Bali,Polygon ZM
654,92930,Pengiangan,382.3141255,1,Susut,Pengiangan,Bangli,Bali,Polygon ZM
655,92931,Sarimekar,243.8090503,1,Buleleng,Sarimekar,Buleleng,Bali,Polygon ZM
656,92932,Satra,152.1417144,1,Klungkung,Satra,Klungkung,Bali,Polygon ZM
657,92933,Satra,902.5400891,1,Kintamani,Satra,Bangli,Bali,Polygon ZM
658,92934,Sawan,211.462217,1,Sawan,Sawan,Buleleng,Bali,Polygon ZM
659,92935,Sayan,464.2097064,1,Ubud,Sayan,Gianyar,Bali,Polygon ZM
660,92936,Subaya,465.509563,1,Kintamani,Subaya,Bangli,Bali,Polygon ZM
661,92937,Subuk,354.6398652,1,Busungbiu,Subuk,Buleleng,Bali,Polygon ZM
662,92938,Sudaji,869.7534492,1,Sawan,Sudaji,Buleleng,Bali,Polygon ZM
663,92939,Sudimara,700.6001053,1,Tabanan,Sudimara,Tabanan,Bali,Polygon ZM
664,92940,Sukadana,2111.568904,1,Kubu,Sukadana,Karangasem,Bali,Polygon ZM
665,92941,Sukasada,443.9739476,2,Sukasada,Sukasada,Buleleng,Bali,Polygon ZM
666,92942,Sukawana,3205.25095,1,Kintamani,Sukawana,Bangli,Bali,Polygon ZM
667,92943,Nyitdah,310.6491517,1,Kediri,Nyitdah,Tabanan,Bali,Polygon ZM
668,92944,Nyuh Tebel,154.668146,1,Manggis,Nyuh Tebel,Karangasem,Bali,Polygon ZM
669,92945,Pacung,659.9551383,1,Tejakula,Pacung,Buleleng,Bali,Polygon ZM
670,92946,Padangkerta,646.1722149,2,Karangasem,Padangkerta,Karangasem,Bali,Polygon ZM
671,92947,Padang Sambian Kaja,316.179142,1,Denpasar Barat,Padang Sambian Kaja,Kota Denpasar,Bali,Polygon ZM
672,92948,Padangan,654.77069,1,Pupuan,Padangan,Tabanan,Bali,Polygon ZM
673,92949,Penglatan,248.5300239,1,Buleleng,Penglatan,Buleleng,Bali,Polygon ZM
674,92950,Penglumbaran,724.1568657,1,Susut,Penglumbaran,Bangli,Bali,Polygon ZM
675,92951,Pengotan,1098.958617,1,Bangli,Pengotan,Bangli,Bali,Polygon ZM
676,92952,Pengeragoan,2455.176568,1,Pekutatan,Pengeragoan,Jembrana,Bali,Polygon ZM
677,92953,Pengulon,1225.504197,1,Gerokgak,Pengulon,Buleleng,Bali,Polygon ZM
678,92954,Peninjoan,1299.087034,1,Tembuku,Peninjoan,Bangli,Bali,Polygon ZM
679,92955,Penuktukan,617.2986923,1,Tejakula,Penuktukan,Buleleng,Bali,Polygon ZM
680,92956,Penyabangan,1853.050956,1,Gerokgak,Penyabangan,Buleleng,Bali,Polygon ZM
681,92957,Penyaringan,4976.537408,1,Mendoyo,Penyaringan,Jembrana,Bali,Polygon ZM
682,92958,Sebatu,972.6266013,1,Tegallalang,Sebatu,Gianyar,Bali,Polygon ZM
683,92959,Sebudi,2611.313893,1,Selat,Sebudi,Karangasem,Bali,Polygon ZM
684,92960,Sesandan,212.1224816,1,Tabanan,Sesandan,Tabanan,Bali,Polygon ZM
685,92961,Sedang,369.5055121,1,Abiansemal,Sedang,Badung,Bali,Polygon ZM
686,92962,Sekaan,371.6488533,1,Kintamani,Sekaan,Bangli,Bali,Polygon ZM
687,92963,Sekardadi,537.0582684,1,Kintamani,Sekardadi,Bangli,Bali,Polygon ZM
688,92964,Sekartaji,1505.424144,1,Nusa Penida,Sekartaji,Klungkung,Bali,Polygon ZM
689,92965,Sekumpul,237.4461788,1,Sawan,Sekumpul,Buleleng,Bali,Polygon ZM
690,92966,Sukawati,666.4855562,1,Sukawati,Sukawati,Gianyar,Bali,Polygon ZM
691,92967,Sulahan,680.1772008,1,Susut,Sulahan,Bangli,Bali,Polygon ZM
692,92968,Sulang,78.93908991,1,Dawan,Sulang,Klungkung,Bali,Polygon ZM
693,92969,Padangbai,198.2796548,1,Manggis,Padangbai,Karangasem,Bali,Polygon ZM
694,92970,Padangbulia,322.9576548,1,Sukasada,Padangbulia,Buleleng,Bali,Polygon ZM
695,92971,Padangsambian,374.7501765,2,Denpasar Barat,Padangsambian,Kota Denpasar,Bali,Polygon ZM
696,92972,Padangsambian Kelod,395.5250541,1,Denpasar Barat,Padangsambian Kelod,Kota Denpasar,Bali,Polygon ZM
697,92973,Perancak,399.3015145,1,Jembrana,Perancak,Jembrana,Bali,Polygon ZM
698,92974,Perean,388.2349938,1,Baturiti,Perean,Tabanan,Bali,Polygon ZM
699,92975,Perean Kangin,433.2813971,1,Baturiti,Perean Kangin,Tabanan,Bali,Polygon ZM
700,92976,Selabih,752.2689741,1,Selemadeg Barat,Selabih,Tabanan,Bali,Polygon ZM
701,92977,Selanbawak,288.7618976,1,Marga,Selanbawak,Tabanan,Bali,Polygon ZM
702,92978,Selat,186.3712714,1,Abiansemal,Selat,Badung,Bali,Polygon ZM
703,92979,Sulangai,1101.767895,1,Petang,Sulangai,Badung,Bali,Polygon ZM
704,92980,Pajahan,961.0267903,1,Pupuan,Pajahan,Tabanan,Bali,Polygon ZM
705,92981,Paket Agung,83.10666634,2,Buleleng,Paket Agung,Buleleng,Bali,Polygon ZM
706,92982,Pakisan,1678.430651,1,Kubutambahan,Pakisan,Buleleng,Bali,Polygon ZM
707,92983,Paksebali,285.8817142,1,Dawan,Paksebali,Klungkung,Bali,Polygon ZM
708,92984,Pancasari,3038.855516,1,Sukasada,Pancasari,Buleleng,Bali,Polygon ZM
709,92985,Pandak Bandung,186.4626721,1,Kediri,Pandak Bandung,Tabanan,Bali,Polygon ZM
710,92986,Perean Tengah,362.3400687,1,Baturiti,Perean Tengah,Tabanan,Bali,Polygon ZM
711,92987,Pererenan,261.3361207,1,Mengwi,Pererenan,Badung,Bali,Polygon ZM
712,92988,Pergung,2152.346026,1,Mendoyo,Pergung,Jembrana,Bali,Polygon ZM
713,93481,Tianyar,1493.120372,1,Kubu,Tianyar,Karangasem,Bali,Polygon ZM
714,93527,Tangkup,252.7523071,1,Sidemen,Tangkup,Karangasem,Bali,Polygon ZM
715,93528,Pesaban,309.7399864,1,Rendang,Pesaban,Karangasem,Bali,Polygon ZM
